name	assoc	True	Mostly-True	Half-True	Mostly-False	False	Pants-on-Fire	
d	d	c	c	c	c	c	c	
Jimmie T. Smith	Republican	0	0	0	0	1	0	
William Howell	Republican	1	0	0	0	0	1	
General Beauregard Lee	None	0	1	0	0	0	0	
Mike Enzi	Republican	1	0	0	0	0	0	
Jay Carney	None	0	2	0	1	1	0	
Sean Duffy	Republican	0	0	2	1	0	0	
Steve Scalise	Republican	0	0	1	0	0	0	
Loretta  Weinberg	undef	2	1	0	1	1	0	
Chris Dodd	Democrat	2	3	3	0	0	0	
Greater Wisconsin Committee	None	1	0	3	1	1	1	
Pari Sabety	None	0	0	1	0	0	0	
Free Market Florida	None	0	1	0	0	0	0	
Chad Causey	Democrat	0	0	0	0	0	0	
Dianne Feinstein	Democrat	0	1	0	0	0	0	
Jon Stewart	undef	0	1	0	0	1	1	
Terry Moulton	Republican	0	0	0	0	1	0	
Sarah Copelin-Wood	undef	0	0	1	0	0	0	
Karen Harrington	Republican	0	0	1	0	1	0	
Tamara Holder	None	0	1	0	0	0	0	
Saxby Chambliss	Republican	1	2	2	0	1	0	
Brendan Doherty	Republican	0	0	1	0	0	0	
Blake Farenthold	Republican	0	0	0	0	1	0	
Carole Smith	None	0	0	0	0	0	1	
Van  Taylor	Republican	0	0	0	0	0	0	
Ben Bius	Republican	0	0	0	0	1	0	
Richard Franklin III	undef	0	0	0	1	0	0	
Donna Garner	Republican	0	0	0	0	0	1	
Susana Martinez	Republican	0	0	1	1	0	0	
Matt Patten	Democrat	0	0	0	0	1	0	
Charlie Gonzalez	Democrat	0	0	1	0	1	0	
Ann Coulter	undef	0	0	2	2	1	0	
Democratic Party  of Georgia	undef	0	0	0	0	1	0	
Andy Brown	Democrat	0	0	0	0	1	0	
David Raynor	None	0	0	1	0	0	0	
Oregon Senate Republicans	Republican	0	0	0	1	0	0	
Gus Bilirakis	Republican	0	0	0	1	0	0	
Joe Scarborough	undef	0	0	0	0	2	0	
A yard sign	undef	1	0	0	0	0	0	
Andy Gardiner	Republican	0	0	0	0	1	0	
Karen Handel	undef	0	0	1	1	0	1	
State Democratic Party of Wisconsin	Democrat	0	0	0	3	4	4	
Gretchen Carlson	None	0	0	0	0	0	1	
Rick Kriseman	Democrat	0	0	0	0	0	0	
Joe Pitts	Republican	0	0	1	0	0	0	
Steven Schale	Democrat	1	0	0	1	0	0	
Deval Patrick	Democrat	0	1	0	0	0	0	
Wisconsin Humane Society	Organization	0	1	0	0	0	0	
Lou Dobbs	undef	0	1	0	0	0	0	
Scott Hochberg	Democrat	1	0	0	0	0	0	
Republican Party of Texas	Republican	1	3	1	2	1	1	
Marvin Pratt	None	0	0	0	0	1	0	
National Organization for Marriage	Organization	0	0	0	0	1	0	
J. Xavier	Democrat	1	0	0	0	0	0	
Americans United for Change	undef	0	1	2	1	4	0	
Christopher Monckton	None	0	0	0	0	0	1	
Joe Parisi	Democrat	0	0	0	0	0	0	
Richard Saslaw	Democrat	0	0	0	1	0	0	
Raul Labrador	Republican	0	0	0	1	0	0	
Teresa Fedor	Democrat	0	0	0	1	0	0	
Jeremy Kapstein	Democrat	0	0	1	0	0	0	
Jane Kidd	undef	0	1	0	0	1	0	
Campaign Money Watch	undef	1	0	0	1	0	0	
Ted  Wheeler	undef	0	0	0	1	0	0	
Johnny Isakson	Republican	3	0	1	2	2	0	
Bob Graham	Democrat	0	1	0	1	0	0	
Liberty Institute	None	0	0	1	0	0	0	
Priorities USA Action	undef	0	0	1	0	0	0	
Terry Gorman	Newsmaker	0	0	0	1	0	1	
Nicholas Kettle	Republican	0	0	0	1	0	0	
Peter Pantuso	None	0	0	1	0	0	0	
Jim Sullivan	Democrat	0	0	2	1	2	0	
Mike Bodker	undef	1	0	0	0	0	0	
Al Sharpton	undef	0	0	1	0	0	0	
Jimmy Carter	Democrat	0	0	1	0	0	0	
Chris Widener	Republican	0	0	0	1	0	0	
Rob Bovett	None	1	0	0	0	0	0	
Valerie Jarrett	Democrat	0	0	0	1	0	0	
John King	undef	1	1	0	0	0	0	
Jeffrey Hernandez	undef	0	0	1	0	0	0	
Mark Sharpe	Republican	0	0	0	1	0	0	
Edward  Flynn	undef	0	0	1	0	0	0	
Robert Bennett	Republican	0	0	1	0	0	0	
George Nee	Labor	0	0	1	1	0	0	
J.D. Hayworth	Republican	0	1	1	0	1	2	
National Republican Trust PAC	undef	0	0	0	1	0	0	
Robert Hagan	Democrat	0	1	2	0	0	0	
Paul Valletta	Labor	0	0	0	1	0	0	
Defenders of Wildlife Action Fund	undef	2	0	0	0	0	0	
Loren Collins	Libertarian	1	0	0	0	0	0	
City of Atlanta	undef	1	0	0	1	0	0	
John  Fleming	Republican	0	0	0	0	1	0	
Dan Boren	Democrat	0	0	1	0	0	0	
Eugene Robinson	undef	0	1	0	0	0	0	
Mike Dovilla	Republican	1	0	0	0	1	0	
Jeff Chapman	Republican	1	0	0	0	0	0	
Jill Chambers	Republican	0	0	0	0	0	1	
Pink Slip Rick	Democrat	0	0	0	0	0	1	
Paul Workman	Republican	1	0	0	1	0	0	
Larry Gause	undef	0	0	0	0	1	0	
Mike Foley	Democrat	0	1	0	0	0	0	
Hillary Clinton	Democrat	32	8	22	15	8	2	
Patrick Kennedy	Democrat	0	0	0	0	1	0	
Kendra Yarbrough Camarena	Democrat	0	0	0	1	0	0	
Conservatives for Patients' Rights	undef	0	0	0	1	0	0	
Democratic Governors Association	undef	1	0	0	1	0	1	
Tim Pawlenty	undef	2	6	3	2	3	1	
Anthony Weiner	Democrat	0	0	2	1	1	0	
Susan Cole	undef	1	0	0	0	0	0	
Silvestre Reyes	Democrat	0	1	2	0	0	1	
James Clyburn	Democrat	0	0	0	1	0	0	
Debbie Jackow	undef	0	0	0	0	1	0	
William Perry	None	0	1	0	0	0	0	
Eric Johnson	undef	0	0	1	0	1	1	
Donald  Payne	Democrat	0	0	0	0	0	0	
Lynn Howe	Democrat	0	0	0	0	0	1	
Patty Murray	Democrat	0	0	0	0	0	0	
Concerned Taxpayers of America	Republican	0	0	1	0	0	0	
Roy Blunt	Republican	0	1	0	0	0	1	
Ben Cannon	Democrat	1	0	0	0	0	0	
New Jersey Assembly Democrats	Democrat	0	0	1	0	0	0	
Holly  Turner	Republican	1	0	0	0	1	0	
Michael Cutler	undef	1	0	0	0	0	0	
Chris Thomas	Republican	0	0	1	0	0	0	
Freedom Defense Advocates	undef	0	0	0	0	0	1	
Roy Barnes and Nathan Deal	undef	0	0	0	0	0	1	
Howard Dean	Democrat	1	1	1	0	3	0	
Richard Swett	Democrat	0	0	1	0	0	0	
Liberal Blogger	undef	0	1	0	0	0	0	
Doug MacGinnitie	Republican	0	0	0	1	1	0	
Oregon Environmental Council- Oregon Business Association	undef	0	0	1	0	0	0	
Dan Ramos	Democrat	0	1	0	0	0	0	
Waco Tea Party	Tea	0	0	1	0	0	0	
Ray McBerry	undef	0	0	0	0	0	1	
Jay Hottinger	Republican	1	0	0	0	1	1	
Jeff Tittel	undef	0	0	0	0	1	0	
John Barrow	Democrat	0	0	0	0	0	0	
Chris  Coons	Democrat	1	0	0	0	0	0	
James Dobson	undef	1	0	0	0	0	0	
Tom Leppert	Republican	1	1	0	0	1	0	
Rod Smith	Democrat	0	1	1	0	1	0	
Whoopi  Goldberg	Talk	0	0	1	0	0	0	
Better Austin Today Political Action Committee	None	0	0	0	1	1	0	
Jorge Ramos	None	0	1	0	0	0	0	
Florida Police Benevolent Association	None	0	0	0	1	0	0	
Robert Healey	Independent	0	0	0	1	0	0	
Julio Robaina	Republican	0	0	0	0	0	0	
Georgia Department of Transportation	undef	0	0	0	0	1	0	
Tim Ryan	Democrat	3	4	0	0	0	1	
Raymond Lesniak	undef	0	0	2	0	0	0	
Jim Moran	Democrat	1	3	0	1	1	1	
Mark Neumann	Republican	1	2	0	2	0	0	
Sheila Harsdorf	Republican	0	0	0	1	0	0	
Kernan &quot;Kerry&quot; King	Republican	1	0	0	0	0	0	
Michael Murphy	None	0	0	0	0	1	0	
Joshua Marquis	Democrat	0	0	1	0	0	0	
Anne Hathaway	undef	0	1	0	0	0	0	
Ronnie Earle	Democrat	0	1	0	0	0	0	
Kitty Boitnott	None	1	1	0	0	1	0	
George W. Bush	Republican	1	1	1	0	1	0	
David Barton	Republican	0	2	1	1	0	0	
Michael Thurmond	Democrat	1	0	0	0	0	0	
Recovery.gov	undef	0	0	0	1	0	0	
David Axelrod	undef	2	5	5	2	1	0	
John Klenke	Republican	0	0	0	0	1	0	
Claire McCaskill	Democrat	1	0	0	0	0	0	
Mahmoud Ahmadinejad	undef	0	0	0	0	2	0	
Cecilia Muoz	undef	0	1	0	0	0	0	
Orly Taitz	undef	0	0	0	0	0	1	
Ed Rendell	Democrat	0	0	0	1	0	0	
Ruben Navarrette Jr.	None	0	1	0	0	0	0	
Kathleen Connell	Democrat	0	0	0	0	1	0	
Chuck Donovan	Libertarian	0	0	1	0	0	0	
Orrin Hatch	Republican	1	0	1	2	0	0	
Susan Sosnowski	Democrat	0	0	1	0	0	0	
Planned Parenthood PAC	None	0	0	0	1	0	0	
David  Sewell	Republican	0	0	1	0	0	0	
Nathan Deal	undef	5	5	4	4	2	0	
Georgia politicians	None	0	0	0	1	0	0	
Jim Gilmore	Republican	0	0	0	0	0	0	
Bob Barr	Libertarian	1	1	0	0	0	0	
John Pistole	undef	1	0	0	0	0	0	
Keith Olbermann	undef	0	2	3	0	2	0	
Joe Brown	Democrat	0	0	0	0	0	1	
Nia Gill	Democrat	1	0	0	0	0	0	
WorldNetDaily	undef	0	0	0	0	1	1	
Chain e-mail	undef	5	5	8	10	31	62	
Phil King	Republican	0	0	0	1	0	0	
Matt Miller	None	1	1	0	0	0	0	
Richard Licht	Democrat	2	0	0	0	0	0	
Joe Morrissey	Democrat	0	1	0	0	0	0	
Campaign for Primary Accountability	None	0	0	0	0	1	0	
NFL Players Association	undef	0	0	0	0	1	0	
Chris Redfern	Democrat	0	3	0	0	0	0	
Fred Karger	Republican	0	0	0	0	0	1	
Rodney Ellis	Democrat	1	1	0	0	0	0	
Bobby  Scott	Democrat	2	2	1	1	1	0	
Kent Conrad	Democrat	2	1	0	0	0	0	
John Holdren	undef	0	0	0	0	0	0	
Sam Brownback	Republican	2	0	0	1	1	0	
John Eaves	Democrat	1	0	0	0	0	0	
Dennis Richardson	Republican	0	0	1	0	2	0	
Regina Benjamin	undef	1	0	0	0	0	0	
Tom Harkin	Democrat	0	0	0	0	1	0	
Eric Cantor	Republican	5	3	3	4	5	2	
Jennifer Carroll	Republican	0	0	0	0	1	1	
Jorge Elorza	Newsmaker	0	0	0	0	1	0	
New Georgia Encyclopedia	None	1	0	0	0	0	0	
Sandra Cunningham	Democrat	0	0	0	0	0	1	
Bob Buckhorn	None	0	0	1	0	1	0	
Jon Corzine	undef	0	0	0	0	0	0	
Dan  Lucas	Republican	0	0	0	1	0	0	
Karl Rove	undef	0	2	2	1	3	0	
Mike Gravel	Libertarian	1	0	1	1	0	1	
Club for Growth	undef	1	1	3	2	2	0	
Chris Carpenter	Democrat	0	0	0	0	0	1	
Scott Lingamfelter	Republican	0	1	0	0	0	0	
Kathryn Starkey	undef	0	0	0	0	0	0	
SEIU	None	0	0	2	0	0	0	
Robert Brown	Democrat	1	0	0	1	1	0	
Edward  Markey	undef	1	1	1	0	0	0	
Francis Kung'u	undef	1	0	0	0	0	0	
Ohio Coal Association	None	0	1	0	0	0	0	
Robert  Dold	Republican	0	0	0	0	1	0	
Jack Reed	Democrat	1	0	1	0	0	0	
Emil Runge	undef	0	0	1	0	0	0	
Bobby Jindal	Republican	0	2	1	0	1	0	
Florida Consumer Action Network	None	0	1	0	0	0	0	
Adam Kinzinger	Republican	0	0	1	0	0	0	
Ken Plum	Democrat	0	0	0	0	1	0	
Todd Tiahrt	Republican	0	0	1	0	0	0	
Michele Bachmann	Republican	5	4	6	7	19	12	
Chris  McCalla	Organization	0	0	0	0	1	0	
Thurbert Baker	Democrat	0	0	1	0	0	0	
Randy Hopper	Republican	0	0	0	0	0	1	
Dick Greco	undef	0	0	1	1	0	0	
John Lewis	Democrat	0	0	0	0	1	0	
Kim Thatcher	Republican	0	1	0	0	0	0	
Doug Ainge	Democrat	0	0	0	0	0	0	
Libertarian  National Committee	undef	0	1	1	0	0	0	
Todd Young	Republican	0	0	0	0	0	0	
Diane  Denish	Democrat	0	0	0	0	0	0	
Steven Chu	Democrat	0	0	0	0	0	0	
Ray Lewis	undef	0	0	0	0	1	0	
Jim Jordan	Republican	1	2	3	0	0	0	
Michael Skindell	Democrat	1	0	0	0	0	0	
Save Our Springs Alliance	None	1	0	0	0	0	0	
Joel Kleefisch	Republican	0	1	0	0	0	0	
Debra Medina	Republican	0	1	3	0	1	0	
Kim Simac	Republican	1	0	0	1	0	0	
Pat Quinn	Democrat	0	0	1	0	0	1	
Milwaukee Police Association	None	0	0	0	1	0	0	
Karen Sage	Democrat	1	0	0	0	0	0	
Paul Krugman	None	6	4	3	0	2	0	
Dick Armey	undef	0	0	1	0	2	0	
United for a Fair Economy	None	0	1	0	0	0	0	
Elizabeth Roberts	Democrat	0	0	1	0	0	0	
Stephen Ucci	Democrat	0	0	0	0	1	0	
Suzanne Devlin	None	0	1	0	0	0	0	
Wesley Smith	None	0	0	1	0	0	0	
Vern Buchanan	Republican	2	0	1	1	1	0	
Ron Saunders	Democrat	0	1	0	0	0	0	
Eddie Lucio, Jr.	Democrat	0	1	1	0	0	0	
Marco Rubio	Republican	9	10	9	4	6	1	
Jim Durrett	undef	0	0	1	0	0	0	
Roxanne Ross	None	0	0	0	0	0	1	
Donald Carcieri	Republican	0	1	1	0	0	0	
Brian Schweitzer	Democrat	0	0	0	0	0	1	
Ralph Mollis	Democrat	0	0	0	0	0	0	
Future PAC (Oregon House Democrats)	Democrat	0	0	0	2	0	1	
Tim Kaine	Democrat	2	4	4	1	2	0	
Janet Napolitano	undef	0	1	1	0	0	1	
WrongWayRubio.com	Democrat	1	0	0	0	0	0	
Darrell Issa	Republican	0	0	0	0	2	0	
Portland Community College	None	0	0	0	0	1	0	
Erik Wallin	Republican	0	0	0	0	1	0	
VoteVets.org	undef	1	0	1	0	1	0	
Kevin Levitas	undef	0	0	0	0	1	0	
Leaflet	None	0	0	0	0	0	0	
Democratic National Committee	undef	6	5	9	6	2	0	
